hx,energy,mx,mz
0.0,-1.5,3.1623467076986e-14,1.0
0.1,-1.503749557614917,0.0500209789184922,0.9987478162591288
0.2,-1.5149928093090517,0.1001685272994494,0.9949647811342548
0.3,-1.5337121859594165,0.1505755582981471,0.988568721907603
0.4,-1.5598738701114867,0.2013879821463018,0.9794131942379034
0.5,-1.5934202873851984,0.25277208969651,0.9672716229488963
0.6000000000000001,-1.6342579383033629,0.3049233277679408,0.951811218723514
0.7000000000000001,-1.682238257209309,0.3580775704550692,0.9325509811835004
0.8,-1.7371272684205508,0.4125268389512591,0.9087926772415864
0.9,-1.7985559911354705,0.4686432614383893,0.8795018347002073
1.0,-1.8659349400911425,0.5269194737232233,0.8430867565068632
1.1,-1.9382946461902213,0.5880425344776385,0.7969442808279878
1.2,-2.060865849131697,0.6530001479653743,0.7364280859199837
1.22,-2.080660378585337,0.6666022581085703,0.7218750344176109
1.24,-2.1008666083055365,0.6804472770410281,0.7062633077608177
1.26,-2.121492175571643,0.6945642071308664,0.6894354139161478
1.28,-2.1425455155760416,0.7089641260130946,0.671220769828307
1.3,-2.164035976336568,0.7237087922630537,0.6513404114496745
1.32,-2.1859740891512063,0.7388307660428066,0.6294826296497149
1.34,-2.2083718103894103,0.7543695744076522,0.605232648495865
1.36,-2.23124298041113,0.770415425382841,0.5779391616250827
1.38,-2.254603966796564,0.7869926228937727,0.5468409767402023
1.4,-2.278474330812508,0.8043140536402354,0.5103094982629256
1.4200000000000002,-2.302879613248832,0.8223571429447811,0.4664256862867131
1.4400000000000002,-2.327853719040618,0.8412213623041264,0.4109405321310816
1.4600000000000002,-2.3534301027440963,0.8607136210027209,0.3356146010228461
1.4800000000000002,-2.379691196675444,0.8813288010696964,0.2167990630938819
1.5000000000000002,-2.4065625904956724,0.8965499999690331,0.0593760438624873
1.5200000000000002,-2.4336372325221123,0.9031641053225906,0.0065806339567317
1.5400000000000005,-2.4608450943199247,0.9081871293891668,-0.0004426795303693
1.5600000000000005,-2.4881914867566026,0.912622943687434,-0.0006879401007641
1.5800000000000003,-2.5156563241518257,0.916541755594246,0.0001197388050358
1.6000000000000003,-2.543225463468459,0.9199309142217706,-0.0008532839134768
1.7000000000000004,-2.5031420681652445,0.9336843153193376,9.66703279558442e-05
1.8000000000000005,-2.6546316953707083,0.943444280862192,9.86555698680379e-06
1.9000000000000008,-2.806653666393592,0.9509020970557086,8.520569117666973e-05
2.0,-3.108506299105096,0.9570050714633894,3.0509900043366007e-05
